name,lat,lng
Additional Commissioner of Police (P & S),18.9371169,72.8383152
Anti-Corruption Bureau,19.006542,72.816253
Addl Comm. Of Police central Region Office,18.983707,72.835757
Armed Police Headquarters,19.007634,72.846027
Police M.T.Section,18.96718,72.831568
Azad Maidan Police Station,18.9414839,72.8332066
M R A Police Satation,18.945923,72.835234
Colaba Police Station,18.922388,72.831078
Cyber Police Station,19.064436,72.860325
Centre Investgestion Branch,19.0337252,72.8663144
State Inteligence Department Mumbai,19.0180835,72.8459614
Khar Police Station,19.0726959,72.8378859
Tardeo Police Station,18.9716976,72.8184715
D N Nagar Police Station,19.1221937,72.8297873
Jogeshwari Police Station,19.1377406,72.8544366
Sahar Police Station,19.0999268,72.870195
Wadala T.T. Police Station,19.033083,72.875038
Bhoiwada Police Station,19.0066914,72.8439134
Rafi Ahmed Kidwai Marg Police Station,19.0047509,72.8543443
Sewree Police Station,18.978244,72.849051
Police Station-2323790001073,19.103022,72.915932
Police Station-1410050000289,18.980703,72.826149
Vikhroli Police Station,19.1187619,72.9374089
Malad Police Station,19.1834693,72.8434862
Kurar Police Station,19.185535,72.859337
Malwani Police Station,19.191673,72.822197
Bangur Nagar Police Station,19.1837977,72.8448145
Goregaon Police Station,19.15729,72.845757
Charkop Police Station,19.214643,72.820671
Kandivali Police Station,19.209669,72.850548
Samata Nagar Police Station,19.199926,72.861526
(Chowky) Sewree Poice Station,18.9973501,72.8535613
Santacruz Railway Police Station,19.089976,72.841479
Bandra Police Station,19.0558698,72.8357572
(Duplicate) Wadala T T Police Station,19.016542,72.853745
L T Marg Police Station,18.9453442,72.8305052
Malbar Hill Police Station,18.9494146,72.7992588
Nagpada Police Station,18.9670527,72.82921
V P Road Police Station,18.9558284,72.8237507
Duplicate) Police Station-1838770001271,19.235952,72.867134
Mumbai Police South Region,18.9675953,72.8323193
Deputy Commissioner of Police,19.2459401,72.861592
Yellow Gate Police Station,18.9482339,72.8410289
Shivaji Nagar Police Station,19.0612531,72.9211795
Office of the ACP - Bandra Division,19.0628173,72.822683
Dindoshi Police Station_Test,19.178704,72.8574024
(Duplicate) Andheri Kurla Road Police Station,19.111807,72.86879
Gowanpada Police Station,19.019228,72.908676
MIDC Police Station,19.117653,72.868155
Bhandup Police Station,19.1512852,72.9365403
Mumbai Police Headquarters,18.9466048,72.8330459
288-TRIAL-Kurla Police Station 21,19.076687,72.878273
Juhu Police Station,19.103172,72.8328046
Nehru Nagar Police Station,19.0587439,72.8806665
Maharashtra State Police Headquarters,18.925152,72.83342
Deputy Commissioner of Police DCP Z-I,18.938305,72.835922
Kurla Police Station,19.0649449,72.8762344
Chembur Traffice Division,19.0538625,72.884099
Ashok Nagar Police Outpost,19.164789,72.948227
Powai Police Station,19.1197044,72.8994752
Deonar Police Station,19.058595,72.9171225
Trombay Police Station,19.0382176,72.9454227
C G Road Police Station,19.045599,72.906967
Mankhurd Police Station,19.0532228,72.9262581
Mumbai Sagari Police Station,19.0482591,72.8422953
V B Nagar Police Station,19.0717166,72.8841818
R C F Police Station,19.036489,72.895599
Kurla Police Station,19.0766504,72.9367756
Meghwadi Police Station,19.1314908,72.8610788
Kalachowki Police Station,18.9879121,72.8423906
Sion Police Station,19.030869,72.857656
Matunga Police Station,19.031156,72.857839
Antop Hill Police Station,19.0305167,72.8646705
Byculla Police Station,18.9735429,72.8340621
Agripada Police Station,18.976616,72.824173
Mandvi Police Station,18.957191,72.842255
New Police Line,19.11946,72.84827
Vanrai Police Station,19.155743,72.857735
Kasturba Marg Police Station,19.228308,72.857933
M H B Police Station,19.23222,72.840408
Aarey Police Station,19.162741,72.87178
Govandi Police Station,19.0486326,72.9177698
Borivali Police Station,19.2291142,72.8559244
Kanjur Marg Police Station,19.1301221,72.9373573
Pant Nagar Police Station,19.087191,72.91634
Police Station-1715260000365,19.026953,72.855331
Police Station-1714540000366,19.0165499,72.8586778
Deputy Commissioner Office,19.010983,72.846375
G D Marg Police Station,19.007332,72.846916
Wadala Police Station1,19.011597,72.860413
G H Road Police Station,19.111944,72.857948
Wadala Police station,19.01549,72.863663
Mahalakshmi Police Station,18.986382,72.814316
Police Station-1628030000824,19.142096,72.84269
Kurla Railway Police Station,19.064808,72.876251
Police Station-2424430001072,19.1060169,72.9226199
Vileparle Police Station,19.096262,72.855143
Dahisar Police Station,19.2527603,72.8643764
Dadasaheb Bhadkamkar Road Police station,18.9609011,72.8170867
Deputy Commissioner Of Police (QRT),19.0758921,72.8563059
B K C Police Station,19.0646042,72.8603032
Dongri Police Station,18.9621806,72.839038
Pydhonie Police Station,18.954067,72.831943
Gaondevi Police Station,18.960472,72.812416
Cuffe Parade Police Station,18.9119522,72.8189364
Marine Drive Police Station,18.930164,72.824654
J J Marg Police Station,18.962951,72.832324
Vakola Police Station,19.080891,72.847748
Kherwadi Police Station,19.0658833,72.850105
Airport Police Station,19.09408,72.865889
Nirmal Nagar Police Station,19.065434,72.844902
Andheri Police Station,19.1204984,72.8480663
Versova Police Station,19.1244929,72.8303846
Oshiwara Police Station,19.1475735,72.8315996
Amboli Police Station,19.1425368,72.8485408
Santacruz Police Station,19.084148,72.834816
ACP Office,19.12056,72.848199
Traffic Police Head Office,19.0097723,72.8177388
